Age_Group,Population,AgeStart,Year,Sex,Cumulative_Population,Kx,C(x) - Kx,Smoothed C(x) - Kx,Smoothed C(x),Smoothed Population
25-29,3117390.0,25,2020,Both sexes,28839563.5,15892815.625,12946747.875,12814647.793610808,28707463.418610808,3113696.8703649268
30-34,2382902.0,30,2020,Both sexes,31222465.5,19071378.75,12151086.75,12154317.72490745,31225696.47490745,2518233.056296643
35-39,1857881.5,35,2020,Both sexes,33080347.0,22249941.875,10830405.125,10960050.257397015,33209992.132397015,1984295.6574895643
40-44,1548385.0,40,2020,Both sexes,34628732.0,25428505.0,9200227.0,9306766.136657458,34735271.13665746,1525279.0042604469
45-49,1256291.0,45,2020,Both sexes,35885023.0,28607068.125,7277954.875,7282780.438583478,35889848.56358348,1154577.4269260168
50-54,975438.0,50,2020,Both sexes,36860461.0,31785631.25,5074829.75,4989802.569386493,36775433.8193865,885585.2558030188
55-59,734529.0,55,2020,Both sexes,37594990.0,34964194.375,2630795.625,2542936.2655947013,37507130.6405947,731696.8212082013
60-64,547767.5,60,2020,Both sexes,38142757.5,38142757.5,0.0,70679.59405301698,38213437.094053015,706306.4534583166
0-4,6587946.5,0,2022,Both sexes,6587946.5,0.0,6587946.5,6556281.045087275,6556281.045087275,6556281.045087275
5-9,5895752.5,5,2022,Both sexes,12483699.0,3301929.375,9181769.625,9186428.622414356,12488357.997414356,5932076.952327081
10-14,5200496.0,10,2022,Both sexes,17684195.0,6603858.75,11080336.25,11161944.34813716,17765803.098137163,5277445.1007228065
15-19,4631923.5,15,2022,Both sexes,22316118.5,9905788.125,12410330.375,12467129.683074282,22372917.80807428,4607114.709937118
20-24,4072960.0,20,2022,Both sexes,26389078.5,13207717.5,13181361.0,13103679.646867841,26311397.14686784,3938479.338793561
25-29,3348016.0,25,2022,Both sexes,29737094.5,16509646.875,13227447.625,13090682.81798349,29600329.69298349,3288932.546115648
30-34,2576735.0,30,2022,Both sexes,32313829.5,19811576.25,12502253.25,12464621.33371041,32276197.58371041,2675867.89072692
35-39,1976412.0,35,2022,Both sexes,34290241.5,23113505.625,11176735.875,11279370.890161313,34392876.51516131,2116678.9314509034
40-44,1613110.0,40,2022,Both sexes,35903351.5,26415435.0,9487916.5,9606200.742272438,36021635.74227244,1628759.2271111235
45-49,1324159.5,45,2022,Both sexes,37227511.0,29717364.375,7510146.625,7533773.703803554,37251138.078803554,1229502.3365311176
50-54,1038712.5,50,2022,Both sexes,38266223.5,33019293.75,5246929.75,5168146.147337957,38187439.89733796,936301.818534404
55-59,781336.0,55,2022,Both sexes,39047559.5,36321223.125,2726336.375,2632768.0042824848,38953991.12928248,766551.2319445238
60-64,575593.0,60,2022,Both sexes,39623152.5,39623152.5,0.0,68482.76486749016,39691635.26486749,737644.13558501
0-4,6778382.5,0,2024,Both sexes,6778382.5,0.0,6778382.5,6769271.320943768,6769271.320943768,6769271.320943768
5-9,6089742.5,5,2024,Both sexes,12868125.0,3468628.2083333335,9399496.791666666,9381043.132649215,12849671.340982549,6080400.020038781
10-14,5422320.5,10,2024,Both sexes,18290445.5,6937256.416666667,11353189.083333332,11382988.297090165,18320244.713756833,5470573.372774284
15-19,4771935.0,15,2024,Both sexes,23062380.5,10405884.625,12656495.875,12738597.781358346,23144482.406358346,4824237.692601513
20-24,4264189.0,20,2024,Both sexes,27326569.5,13874512.833333334,13452056.666666666,13432029.918444302,27306542.751777634,4162060.3454192877
25-29,3596081.5,25,2024,Both sexes,30922651.0,17343141.041666668,13579509.958333332,13468110.40723737,30811251.448904037,3504708.6971264035
30-34,2833648.5,30,2024,Both sexes,33756299.5,20811769.25,12944530.25,12872332.312525706,33684101.562525705,2872850.113621667
35-39,2162245.0,35,2024,Both sexes,35918544.5,24280397.458333336,11638147.041666664,11690856.064996272,35971253.52332961,2287151.9608039036
40-44,1703644.0,40,2024,Both sexes,37622188.5,27749025.666666668,9873162.833333332,9990509.461234834,37739535.1279015,1768281.6045718938
45-49,1409441.5,45,2024,Both sexes,39031630.0,31217653.875000004,7813976.124999996,7858787.663725968,39076441.53872597,1336906.4108244702
50-54,1121345.5,50,2024,Both sexes,40152975.5,34686282.083333336,5466693.416666664,5403853.200853058,40090135.28418639,1013693.7454604208
55-59,849543.0,55,2024,Both sexes,41002518.5,38154910.29166667,2847608.2083333284,2754535.966898296,40909446.258564964,819310.9743785709
60-64,621020.0,60,2024,Both sexes,41623538.5,41623538.5,0.0,60333.22204266954,41683871.72204267,774425.4634777084
0-4,7383196.0,0,2030,Both sexes,7383196.0,0.0,7383196.0,7414261.799612164,7414261.799612164,7414261.799612164
5-9,6805875.0,5,2030,Both sexes,14189071.0,4061819.3333333335,10127251.666666666,10086219.071320843,14148038.404654177,6733776.605042013
